頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
シ,ｼﾞﾍﾞﾚﾘﾝ明治,6004,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ明治液剤,6005,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ協和液剤,6006,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ協和粉末,6007,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
ル,ﾙｰﾄﾝ,6071,,植物成長調整剤,1-ﾅﾌﾁﾙｱｾﾄｱﾐﾄﾞ,「-（植）」,,,,,,,,
漢字,石原ﾄﾏﾄﾄｰﾝ,6072,,植物成長調整剤,4-CPA,「-（植）」,,,,,,,,
漢字,日産ﾄﾏﾄﾄｰﾝ,11762,,植物成長調整剤,4-CPA,「-（植）」,,,,,,,,
オ,ｵｷｼﾍﾞﾛﾝ粉剤0.5,11788,,植物成長調整剤,ｲﾝﾄﾞｰﾙ酪酸,「-（植）」,,,,,,,,
オ,ｵｷｼﾍﾞﾛﾝ液剤,11790,,植物成長調整剤,ｲﾝﾄﾞｰﾙ酪酸,「-（植）」,,,,,,,,
漢字,日産ｴｽﾚﾙ10,13038,,植物成長調整剤,ｴﾃﾎﾝ,「-（植）」,,,,,,,,
漢字,石原ｴｽﾚﾙ10,13039,,植物成長調整剤,ｴﾃﾎﾝ,「-（植）」,,,,,,,,
ヒ,ﾋﾞｰｴｰ液剤,14391,,植物成長調整剤,ﾍﾞﾝｼﾞﾙｱﾐﾉﾌﾟﾘﾝ,「-（植）」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ協和ﾍﾟｰｽﾄ,14434,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
フ,ﾌｨｶﾞﾛﾝ乳剤,14517,,植物成長調整剤,ｴﾁｸﾛｾﾞｰﾄｴﾁﾙ,「-（植）」,,,,,,,,
漢字,塗布用ﾋﾞｰｴｰ,14656,,植物成長調整剤,ﾍﾞﾝｼﾞﾙｱﾐﾉﾌﾟﾘﾝ,「-（植）」,,,,,,,,
エ,ｴｷｶﾞｿﾞｰﾙ,15005,,植物成長調整剤,ﾍﾟﾝﾃﾞｨﾒﾀﾘﾝ,3,,,,,,,,
ス,ｽﾄｯﾎﾟｰﾙ液剤,15109,,植物成長調整剤,ｼﾞｸﾛﾙﾌﾟﾛｯﾌﾟ,4,,,,,,,,
漢字,日産ｽﾄｯﾎﾟｰﾙ液剤,15110,,植物成長調整剤,ｼﾞｸﾛﾙﾌﾟﾛｯﾌﾟ,4,,,,,,,,
コ,ｺﾝﾀｸﾄ,15129,,植物成長調整剤,ﾃﾞｼﾙｱﾙｺｰﾙ,"「-」(H*),「-（植）」(植*）",,,,,,,,
漢字,塗布用ﾍﾞｱﾆﾝ,15299,,植物成長調整剤,ﾍﾞﾝｼﾞﾙｱﾐﾉﾌﾟﾘﾝ,「-（植）」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ協和錠剤,15697,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
サ,ｻｲｺｾﾙ,15707,,植物成長調整剤,ｸﾛﾙﾒｺｰﾄ,「-（植）」,,,,,,,,
O,OMH-K,16673,,植物成長調整剤,ﾏﾚｲﾝ酸ﾋﾄﾞﾗｼﾞﾄﾞｶﾘｳﾑ,「-（植）」,,,,,,,,
サ,ｻﾝｷｬｯﾁ液剤30S,16837,,植物成長調整剤,ｺﾘﾝ,「-（植）」,,,,,,,,
ス,ｽﾏﾚｸﾄ粒剤,17221,,植物成長調整剤,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,,,
漢字,石原ｽﾏﾚｸﾄ粒剤,17224,,植物成長調整剤,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,,,
ハ,ﾊﾞｳﾝﾃｨ粒剤,17225,,植物成長調整剤,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,,,
ハ,ﾊﾞｳﾝﾃｨﾌﾛｱﾌﾞﾙ,17229,,植物成長調整剤,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,,,
漢字,日農ﾊﾞｳﾝﾃｨﾌﾛｱﾌﾞﾙ,17231,,植物成長調整剤,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,,,
フ,ﾌﾙﾒｯﾄ液剤,17247,,植物成長調整剤,ﾎﾙｸﾛﾙﾌｪﾆｭﾛﾝ,「-（植）」,,,,,,,,
ク,ｸﾞﾘｰﾝﾌｨｰﾙﾄﾞ水和剤,17317,,植物成長調整剤,ﾌﾙﾙﾌﾟﾘﾐﾄﾞｰﾙ,「-（植）」,,,,,,,,
カ,ｶﾙﾊﾟｰ粉粒剤16,17423,,植物成長調整剤,過酸化ｶﾙｼｳﾑ,「-（植）」,,,,,,,,
カ,ｶﾔｸｶﾙﾊﾟｰ粉粒剤16,17424,,植物成長調整剤,過酸化ｶﾙｼｳﾑ,「-（植）」,,,,,,,,
ク,ｸﾞﾘｰﾝﾌｨｰﾙﾄﾞ粒剤,17622,,植物成長調整剤,ﾌﾙﾙﾌﾟﾘﾐﾄﾞｰﾙ,「-（植）」,,,,,,,,
フ,ﾌﾗｽﾀｰ液剤,17799,,植物成長調整剤,ﾒﾋﾟｺｰﾄｸﾛﾘﾄﾞ,「-（植）」,,,,,,,,
漢字,日曹ﾌﾗｽﾀｰ液剤,17800,,植物成長調整剤,ﾒﾋﾟｺｰﾄｸﾛﾘﾄﾞ,「-（植）」,,,,,,,,
ロ,ﾛﾐｶ粒剤,17815,,植物成長調整剤,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ク,ｸﾐｱｲﾛﾐｶ粒剤,17816,,植物成長調整剤,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,日産ﾛﾐｶ粒剤,17817,,植物成長調整剤,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ア,ｱﾙﾑｸﾞﾘｰﾝ,17851,,植物成長調整剤,混合生薬抽出物,「-（植）」,,,,,,,,
ス,ｽﾐｾﾌﾞﾝP液剤,18009,,植物成長調整剤,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ヒ,ﾋﾞﾋﾞﾌﾙﾌﾛｱﾌﾞﾙ,18829,,植物成長調整剤,ﾌﾟﾛﾍｷｻｼﾞｵﾝｶﾙｼｳﾑ塩,「-（植）」,,,,,,,,
ヒ,ﾋﾞｵﾛｯｸﾌﾛｱﾌﾞﾙ,19685,,植物成長調整剤,ﾌﾟﾛﾍｷｻｼﾞｵﾝｶﾙｼｳﾑ塩,「-（植）」,,,,,,,,
漢字,理研ﾋﾞｵﾛｯｸﾌﾛｱﾌﾞﾙ,19686,,植物成長調整剤,ﾌﾟﾛﾍｷｻｼﾞｵﾝｶﾙｼｳﾑ塩,「-（植）」,,,,,,,,
ヒ,ﾋﾞﾋﾞﾌﾙ粉剤DL,19761,,植物成長調整剤,ﾌﾟﾛﾍｷｻｼﾞｵﾝｶﾙｼｳﾑ塩,「-（植）」,,,,,,,,
セ,ｾﾙﾊﾞｲﾝ,20152,,植物成長調整剤,塩化ｶﾙｼｳﾑ,「-（植）」,硫酸ｶﾙｼｳﾑ,「-（植）」,,,,,,
漢字,日産ﾄﾏﾄﾄｰﾝｽﾌﾟﾚｰ,20321,,植物成長調整剤,4-CPA,「-（植）」,,,,,,,,
C,CX-10,20344,,植物成長調整剤,ｼｱﾅﾐﾄﾞ,「-（植）」,,,,,,,,
テ,ﾃﾞｼｶﾝ乳剤,20677,,植物成長調整剤,ﾋﾟﾗﾌﾙﾌｪﾝｴﾁﾙ,14,,,,,,,,
カ,ｶﾙﾀｲﾑﾌﾛｱﾌﾞﾙ,20871,,植物成長調整剤,ﾌﾟﾛﾍｷｻｼﾞｵﾝｶﾙｼｳﾑ塩,「-（植）」,,,,,,,,
セ,ｾﾞｵﾝｼﾞｬｽﾓﾒｰﾄ液剤,21050,,植物成長調整剤,ﾌﾟﾛﾋﾄﾞﾛｼﾞｬｽﾓﾝ,「-（植）」,,,,,,,,
シ,ｼﾞｬｽﾓﾒｰﾄ液剤,21051,,植物成長調整剤,ﾌﾟﾛﾋﾄﾞﾛｼﾞｬｽﾓﾝ,「-（植）」,,,,,,,,
ヒ,ﾋｯﾄα13,21086,,植物成長調整剤,ｼｱﾅﾐﾄﾞ,「-（植）」,,,,,,,,
ヒ,ﾋｯﾄα10,21087,,植物成長調整剤,ｼｱﾅﾐﾄﾞ,「-（植）」,,,,,,,,
シ,ｼﾞｮﾝｶﾗｰﾌﾟﾛ,21145,,植物成長調整剤,ｷﾉｷｻﾘﾝ系,"UN(I*), M10(F*)",MEP,1B,,,,,,
エ,ｴｺﾙｰｷｰ,21249,,植物成長調整剤,ｷﾞ酸ｶﾙｼｳﾑ,「-（植）」,,,,,,,,
S,STｼﾞﾍﾞﾗ錠,21318,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
S,STｼﾞﾍﾞﾗ錠5,21319,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
ス,ｽｻｰﾉﾏｯｸｽ液剤,21672,,植物成長調整剤,ﾄﾘﾈｷｻﾊﾟｯｸｴﾁﾙ,「-（植）」,,,,,,,,
フ,ﾌﾟﾘﾓﾏｯｸｽ液剤,21959,,植物成長調整剤,ﾄﾘﾈｷｻﾊﾟｯｸｴﾁﾙ,「-（植）」,,,,,,,,
キ,ｷｸｴﾓﾝ,22004,,植物成長調整剤,ﾀﾞﾐﾉｼﾞｯﾄﾞ,「-（植）」,,,,,,,,
タ,ﾀｰﾑ水溶剤,22388,,植物成長調整剤,1-ﾅﾌﾀﾚﾝ酢酸ﾅﾄﾘｳﾑ,「-（植）」,,,,,,,,
ア,ｱｰｸﾗﾝﾄﾞ液剤,22389,,植物成長調整剤,1-ﾅﾌﾀﾚﾝ酢酸ﾅﾄﾘｳﾑ,「-（植）」,,,,,,,,
ヒ,ﾋｵﾓﾝ水溶剤,22390,,植物成長調整剤,1-ﾅﾌﾀﾚﾝ酢酸ﾅﾄﾘｳﾑ,「-（植）」,,,,,,,,
ヒ,ﾋﾞｰﾅｲﾝｽﾌﾟﾚｰ,22429,,植物成長調整剤,ﾀﾞﾐﾉｼﾞｯﾄﾞ,「-（植）」,,,,,,,,
ヒ,ﾋﾞｰﾅｲﾝ顆粒水溶剤,22759,,植物成長調整剤,ﾀﾞﾐﾉｼﾞｯﾄﾞ,「-（植）」,,,,,,,,
ス,ｽﾏｰﾄﾌﾚｯｼｭくん蒸剤,22804,,植物成長調整剤,1-ﾒﾁﾙｼｸﾛﾌﾟﾛﾍﾟﾝ,「-（植）」,,,,,,,,
フ,ﾌﾟﾛｷｼ液剤,22933,,植物成長調整剤,ｴﾃﾎﾝ,「-（植）」,,,,,,,,
漢字,家庭園芸用ﾋﾞｰﾅｲﾝ水溶剤,22965,,植物成長調整剤,ﾀﾞﾐﾉｼﾞｯﾄﾞ,「-（植）」,,,,,,,,
ヒ,ﾋﾞﾋﾞﾌﾙﾍﾟｰｽﾄ,22972,,植物成長調整剤,ﾌﾟﾛﾍｷｻｼﾞｵﾝｶﾙｼｳﾑ塩,「-（植）」,,,,,,,,
シ,ｼﾞｬｶﾞ液剤,23014,,植物成長調整剤,ｸﾞﾙﾎｼﾈｰﾄPﾅﾄﾘｳﾑ塩,10,,,,,,,,
ホ,ﾎｸｺｰｼﾞｬｶﾞ液剤,23015,,植物成長調整剤,ｸﾞﾙﾎｼﾈｰﾄPﾅﾄﾘｳﾑ塩,10,,,,,,,,
イ,ｲｴﾛｰﾘﾎﾞﾝS,23018,,植物成長調整剤,ﾃﾞｼﾙｱﾙｺｰﾙ,"「-」(H*),「-（植）」(植*）",ﾌﾞﾄﾙｱﾘﾝ,3,,,,,,
ナ,ﾅｲﾝG乳剤,23085,,植物成長調整剤,ﾆｺｽﾙﾌﾛﾝ,2,,,,,,,,
ト,ﾄﾞﾗｰﾄﾞ液剤,23120,,植物成長調整剤,ﾍﾞﾝｼﾞﾙｱﾐﾉﾌﾟﾘﾝ,「-（植）」,,,,,,,,
漢字,兼商ﾏﾃﾞｯｸEW,23427,,植物成長調整剤,MCPBｴﾁﾙ,4,,,,,,,,
ス,ｽﾏｰﾄﾌﾚｯｼｭ ﾀﾌﾞ,23484,,植物成長調整剤,1-ﾒﾁﾙｼｸﾛﾌﾟﾛﾍﾟﾝ,「-（植）」,,,,,,,,
サ,ｻｲｺｾﾙPRO,23589,,植物成長調整剤,ｸﾛﾙﾒｺｰﾄ,「-（植）」,,,,,,,,
フ,ﾌﾟﾚﾘｭｰﾄﾞ液剤,23657,,植物成長調整剤,ﾍﾞﾝｼﾞﾙｱﾐﾉﾌﾟﾘﾝ,「-（植）」,,,,,,,,
サ,ｻﾝｼｮｯﾄ,23730,,植物成長調整剤,ｲﾀｺﾝ酸,「-（植）」,,,,,,,,
ク,ｸﾚﾝﾄ,23770,,植物成長調整剤,炭酸ｶﾙｼｳﾑ,「-（植）」,,,,,,,,
ハ,ﾊﾟﾙｶｯﾄ,23800,,植物成長調整剤,ﾄﾘｵﾚｲﾝ酸ｿﾙﾋﾞﾀﾝ,「-（植）」,,,,,,,,
ラ,ﾗﾝﾄﾞﾜｰｶｰ水和剤,23842,,植物成長調整剤,ﾌﾙﾙﾌﾟﾘﾐﾄﾞｰﾙ,「-（植）」,,,,,,,,
フ,ﾌｧｰﾓｱiQ,24022,,植物成長調整剤,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,,,
サ,ｻﾆﾃﾞｲ,24048,,植物成長調整剤,MCPBｴﾁﾙ,4,,,,,,,,
漢字,住友ｼﾞﾍﾞﾚﾘﾝ粉末,24247,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
漢字,住友ｼﾞﾍﾞﾚﾘﾝﾍﾟｰｽﾄ,24248,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
漢字,住友ｼﾞﾍﾞﾚﾘﾝ錠剤,24249,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
漢字,住友ｼﾞﾍﾞﾚﾘﾝ液剤,24260,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
エ,ｴﾁﾚﾝﾊﾞｽﾀｰ,24333,,植物成長調整剤,1-ﾒﾁﾙｼｸﾛﾌﾟﾛﾍﾟﾝ,「-（植）」,,,,,,,,
エ,ｴﾁﾙﾌﾞﾛｯｸ ﾀﾌﾞ,24334,,植物成長調整剤,1-ﾒﾁﾙｼｸﾛﾌﾟﾛﾍﾟﾝ,「-（植）」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ明治液剤,24401,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
ス,ｽﾏｰﾄﾌﾚｯｼｭ ﾌﾟﾛﾀﾌﾞY,24406,,植物成長調整剤,1-ﾒﾁﾙｼｸﾛﾌﾟﾛﾍﾟﾝ,「-（植）」,,,,,,,,
オ,ｵｸｿｽDS,24440,,植物成長調整剤,過酸化ｶﾙｼｳﾑ,「-（植）」,,,,,,,,
ホ,ﾎﾜｲﾄﾘﾎﾞﾝ,24510,,植物成長調整剤,ｸﾛﾙﾀｰﾙｼﾞﾒﾁﾙ,「-（植）」,ﾃﾞｼﾙｱﾙｺｰﾙ,"「-」(H*),「-（植）」(植*）",,,,,,
フ,ﾌｧｲﾅﾙｼｮｯﾄ乳剤,24537,,植物成長調整剤,ｲｿﾌﾟﾛﾁｵﾗﾝ,6,,,,,,,,
ア,ｱﾌﾞｻｯﾌﾟ液剤,24662,,植物成長調整剤,ｱﾌﾞｼｼﾝ酸,「-（植）」,,,,,,,,
M,MICｼﾞﾍﾞﾚﾘﾝ粉末,24693,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
M,MICｼﾞﾍﾞﾚﾘﾝ液剤,24694,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
イ,ｲﾈﾏﾓｰﾙ箱粒剤,24931,,植物成長調整剤,ﾀﾞｲﾑﾛﾝ,0,,,,,,,,